scientific_name,longitude,latitude
Empidonomus aurantioatrocristatus,-76.3734679,-0.4983038
Empidonomus aurantioatrocristatus,-69.93536,-4.1786485
Empidonomus aurantioatrocristatus,-58.57,-23.63
Empidonomus aurantioatrocristatus,-59.975481,-2.9300332
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-76.3974008,-0.6745278
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-64.6329117,-30.7728927
Empidonomus aurantioatrocristatus,-72.9309911,-3.2398987
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-64.4979858,-30.9805917
Empidonomus aurantioatrocristatus,-76.8593645,-2.5416598
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-76.3974008,-0.6745278
Empidonomus aurantioatrocristatus,-77.6138592,-1.0649259
Empidonomus aurantioatrocristatus,-71.2225628,-11.9977657
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-76.4713148,-0.4798493
Empidonomus aurantioatrocristatus,-69.6119071,-13.1372421
Empidonomus aurantioatrocristatus,-76.3308,-1.06721
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-72.9148221,-3.2529136
Empidonomus aurantioatrocristatus,-58.7476489,-33.4983288
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-59.3111111,-22.545
Empidonomus aurantioatrocristatus,-76.0412908,-0.5487227
Empidonomus aurantioatrocristatus,-60.2672222,-19.0536111
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-59.3397222,-22.5694444
Empidonomus aurantioatrocristatus,-60.81,-18.5186111
Empidonomus aurantioatrocristatus,-72.9174507,-3.2578834
Empidonomus aurantioatrocristatus,-64.633333,-24.7
Empidonomus aurantioatrocristatus,-57.75,-25.16
Empidonomus aurantioatrocristatus,-57.75,-25.16
Empidonomus aurantioatrocristatus,-58.9503729,-27.3189524
Empidonomus aurantioatrocristatus,-76.0412908,-0.5487227
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-69.9552405,-4.1237326
Empidonomus aurantioatrocristatus,-62.7105081,-19.8005844
Empidonomus aurantioatrocristatus,-76.0412908,-0.5487227
Empidonomus aurantioatrocristatus,-72.9089702,-3.2490769
Empidonomus aurantioatrocristatus,-58.7883568,-33.4984608
Empidonomus aurantioatrocristatus,-69.2998994,-12.8024426
Empidonomus aurantioatrocristatus,-59.3111111,-22.545
Empidonomus aurantioatrocristatus,-72.9089702,-3.2490769
Empidonomus aurantioatrocristatus,-76.0412908,-0.5487227
Empidonomus aurantioatrocristatus,-72.9089702,-3.2490769
